term,gene
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CA2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CABC1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CARD11
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CASP8AP2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CBFB
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CBLL1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CBX1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CBX5
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CCNA2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CCNB2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CCND1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CCND2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CCNE2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CCT2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CCT3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CCT4
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CCT5
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CD2AP
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CD44
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CDC2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CDC20
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CDC25C
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CDC6
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CDC7
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CDCA1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CDCA4
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CDKN3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CDO1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CDT1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CDV3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CENPE
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CENPH
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CES1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CETN3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CFI
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CGI-09
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CGI-115
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CHAF1B
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CHEK1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CHEK2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CHTF18
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CIP29
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CKAP2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CLDN2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CLPX
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C-MYC
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CNAP1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CNN3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CNNM3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",CNOT7
